Student_ID,Department,Graduation_Year,CGPA,Internship,Placement_Status,Company,Job_Role,Salary_LPA,Location
STU0001,Electronics & Communication,2023,7.76,No,Unplaced,,,,
STU0002,Information Technology,2023,8.45,Yes,Placed,Wipro,Cloud Associate,6.35,Hyderabad
STU0003,Mechanical Engineering,2023,8.3,Yes,Unplaced,,,,
STU0004,Computer Science & Engineering,2023,6.61,No,Unplaced,,,,
STU0005,Information Technology,2026,7.07,No,Unplaced,,,,
STU0006,Computer Science & Engineering,2023,8.59,Yes,Placed,IBM,Full Stack Developer,8.59,Chennai
STU0007,Computer Science & Engineering,2024,8.98,Yes,Placed,Cisco,Systems Engineer,16.16,Pune
STU0008,Computer Science & Engineering,2023,7.37,Yes,Placed,Oracle,Full Stack Developer,19.01,Pune
STU0009,Computer Science & Engineering,2024,7.24,Yes,Placed,JP Morgan,Full Stack Developer,15.38,Chennai
STU0010,Electronics & Communication,2026,7.6,Yes,Placed,JP Morgan,DevOps Engineer,19.29,Gurgaon
STU0011,Mechanical Engineering,2025,7.94,Yes,Placed,Cognizant,DevOps Engineer,7.02,Chennai
STU0012,Computer Science & Engineering,2025,7.08,Yes,Placed,Wipro,Data Analyst,6.54,Bangalore
STU0013,Computer Science & Engineering,2024,9.38,Yes,Placed,Google,QA Engineer,31.89,Bangalore
STU0014,Computer Science & Engineering,2026,7.71,Yes,Placed,Accenture,Full Stack Developer,7.85,Pune
STU0015,Computer Science & Engineering,2024,7.25,Yes,Placed,Accenture,Systems Engineer,5.92,Gurgaon
STU0016,Computer Science & Engineering,2025,8.81,Yes,Placed,TCS,Cloud Associate,4.28,Hyderabad
STU0017,Electronics & Communication,2026,8.55,Yes,Placed,Wipro,Software Engineer,4.62,Hyderabad
STU0018,Mechanical Engineering,2026,8.35,Yes,Placed,JP Morgan,Business Analyst,23.26,Bangalore
STU0019,Mechanical Engineering,2026,7.88,Yes,Placed,JP Morgan,Data Analyst,23.95,Pune
STU0020,Computer Science & Engineering,2023,7.9,Yes,Placed,Wipro,Business Analyst,5.71,Bangalore
STU0021,Computer Science & Engineering,2023,8.41,No,Placed,Wipro,Software Engineer,4.32,Pune
STU0022,Civil Engineering,2023,7.19,No,Placed,TCS,Software Engineer,6.02,Bangalore
STU0023,Information Technology,2026,8.18,Yes,Placed,IBM,Full Stack Developer,11.34,Bangalore
STU0024,Computer Science & Engineering,2026,7.84,No,Placed,Accenture,Systems Engineer,7.22,Bangalore
STU0025,Computer Science & Engineering,2023,7.21,Yes,Placed,Accenture,Full Stack Developer,6.06,Gurgaon
STU0026,Electronics & Communication,2026,7.63,Yes,Placed,Infosys,Data Analyst,6.72,Hyderabad
STU0027,Civil Engineering,2025,7.99,Yes,Placed,Microsoft,Systems Engineer,23.65,Mumbai
STU0028,Electronics & Communication,2025,8.04,Yes,Unplaced,,,,
STU0029,Mechanical Engineering,2026,8.5,Yes,Placed,TCS,Cloud Associate,6.01,Bangalore
STU0030,Mechanical Engineering,2026,6.22,Yes,Placed,Capgemini,Software Engineer,5.64,Bangalore
STU0031,Civil Engineering,2024,7.31,No,Unplaced,,,,
STU0032,Mechanical Engineering,2024,7.18,Yes,Placed,TCS,Full Stack Developer,6.19,Pune
STU0033,Mechanical Engineering,2023,8.72,Yes,Placed,Google,Full Stack Developer,30.64,Bangalore
STU0034,Mechanical Engineering,2025,8.1,Yes,Placed,Wipro,Cloud Associate,4.78,Hyderabad
STU0035,Information Technology,2024,8.21,Yes,Placed,TCS,Full Stack Developer,4.64,Gurgaon
STU0036,Computer Science & Engineering,2025,7.22,Yes,Placed,Cognizant,Software Engineer,6.85,Bangalore
STU0037,Civil Engineering,2025,7.96,No,Unplaced,,,,
STU0038,Information Technology,2023,6.92,No,Unplaced,,,,
STU0039,Computer Science & Engineering,2026,7.53,Yes,Placed,TCS,Data Analyst,5.59,Bangalore
STU0040,Mechanical Engineering,2025,6.95,No,Unplaced,,,,
STU0041,Computer Science & Engineering,2024,6.91,Yes,Placed,Google,Software Engineer,25.71,Bangalore
STU0042,Computer Science & Engineering,2024,6.75,Yes,Placed,Infosys,Software Engineer,5.9,Chennai
STU0043,Mechanical Engineering,2026,7.78,Yes,Placed,Cognizant,Business Analyst,7.3,Hyderabad
STU0044,Computer Science & Engineering,2024,7.91,Yes,Placed,Oracle,Data Analyst,19.85,Gurgaon
