Student_ID,Department,Graduation_Year,CGPA,Internship,Placement_Status,Company,Job_Role,Salary_LPA,Location
STU0521,Info Tech,2025,7.5,Yes,Placed,Wipro,Full Stack Developer,6.67,Hyderabad
STU0677,Mech,2023,8.05,Yes,Placed,IBM,Business Analyst,10.88,Bangalore
STU0346,CSE,2024,8.99,Yes,Placed,Accenture,Data Analyst,8.31,Bangalore
STU0047,Computer Science & Engineering,2023,7.32,Yes,Placed,Deloitte,Cloud Associate,10.23,Bangalore
STU0493,Info Tech,2024,7.44,Yes,Placed,JP Morgan,Software Engineer,18.74,Pune
STU0603,CS,2026,7.3,Yes,Placed,Accenture,QA Engineer,5.61,Hyderabad
STU0014,CS,2026,7.71,Yes,Placed,Accenture,Full Stack Developer,7.85,Pune
STU0439,Computer Science,2023,7.52,No,Placed,Infosys,Data Analyst,5.69,Noida
STU0184,CS,2026,6.47,No,Unplaced,,,,
STU0634,Electronics,2023,7.53,No,Unplaced,,,,
STU0087,CSE,2025,6.0,Yes,Placed,Cisco,Full Stack Developer,20.78,Pune
STU0559,Civil,2026,8.59,Yes,Placed,IBM,Cloud Associate,6.69,Chennai
STU0510,Info Tech,2025,8.73,No,Placed,TCS,Software Engineer,6.21,Bangalore
STU0613,CS,2024,8.25,Yes,Placed,Wipro,Business Analyst,6.54,Hyderabad
STU0247,Information Technology,2023,9.17,Yes,Placed,TCS,Full Stack Developer,6.17,Hyderabad
STU0575,Info Tech,2023,7.76,Yes,Placed,Deloitte,Software Engineer,9.79,Gurgaon
STU0277,CS,2023,7.26,No,Unplaced,,,,
STU0614,ECE,2026,8.28,Yes,Placed,Cisco,Software Engineer,19.69,Pune
STU0474,Civil Engg,2025,7.87,No,Unplaced,,,,
STU0753,Mechanical Engineering,2023,7.83,Yes,Placed,TCS,Systems Engineer,4.3,Pune
STU0478,Info Tech,2025,7.2,No,Unplaced,,,,
STU0389,CSE,2025,7.55,No,Unplaced,,,,
STU0167,CS,2025,8.7,Yes,Placed,Wipro,Full Stack Developer,6.9,Bangalore
STU0058,Info Tech,2026,9.12,Yes,Placed,Accenture,Systems Engineer,7.96,Bangalore
STU0131,Computer Science,2024,7.36,No,Placed,Deloitte,Full Stack Developer,9.52,Hyderabad
STU0460,CSE,2025,7.5,Yes,Unplaced,,,,
STU0179,Mechanical,2024,7.99,No,Unplaced,,,,
STU0265,CS,2024,9.16,Yes,Placed,JP Morgan,Software Engineer,16.28,Hyderabad
STU0718,Electronics,2026,8.85,Yes,Placed,Cisco,Software Engineer,15.44,Mumbai
STU0312,Computer Science & Engineering,2025,8.5,Yes,Unplaced,,,,
STU0742,Computer Science,2023,9.2,Yes,Placed,Microsoft,Software Engineer,24.02,Hyderabad
STU0083,Computer Science & Engineering,2024,7.81,Yes,Placed,Capgemini,Software Engineer,8.28,Bangalore
STU0127,Computer Science,2025,8.14,Yes,Placed,Capgemini,Full Stack Developer,6.42,Hyderabad
STU0341,IT,2026,6.88,No,Placed,Deloitte,Software Engineer,8.25,Pune
STU0436,Computer Science & Engineering,2025,6.22,No,Unplaced,,,,
STU0409,Civil Engg,2023,7.43,Yes,Placed,Amazon,DevOps Engineer,22.62,Pune
STU0682,Computer Science & Engineering,2025,6.0,No,Placed,Cognizant,Data Analyst,7.15,Bangalore
STU0145,IT,2026,6.25,No,Unplaced,,,,
STU0399,Computer Science & Engineering,2023,7.22,Yes,Unplaced,,,,
STU0451,CS,2024,8.24,Yes,Placed,TCS,Software Engineer,6.14,Hyderabad
